index,common_name,file,license,recordist,XC-number,stable_url,file-name
32,long-tailed duck,https://xeno-canto.org/202053/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Jarek Matusiak,202053,//xeno-canto.org/202053,XC202053-141110_19ed2.mp3
33,long-tailed duck,https://xeno-canto.org/202050/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Jarek Matusiak,202050,//xeno-canto.org/202050,XC202050-141110_12ed.mp3
35,long-tailed duck,https://xeno-canto.org/120198/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Yann Kolbeinsson,120198,//xeno-canto.org/120198,XC120198-yk_clahye240509_1.mp3
36,long-tailed duck,https://xeno-canto.org/115371/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Jarek Matusiak,115371,//xeno-canto.org/115371,XC115371-Clangula_hyemalis_Poland_Jarek_Matusiak_20100430-038.mp3
42,long-tailed duck,https://xeno-canto.org/64611/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Patrik Åberg,64611,//xeno-canto.org/64611,Alfagel-song-Tavvavuoma-Lp-2010-06-10.mp3
43,long-tailed duck,https://xeno-canto.org/703896/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Jeff Stewart,703896,//xeno-canto.org/703896,"XC703896-LTDU 7.6 bps Nov 3, 2021 2055.mp3"
46,long-tailed duck,https://xeno-canto.org/699018/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Grzegorz Lorek,699018,//xeno-canto.org/699018,XC699018-2- 19.01.2022 - 11.30 - C. hyemalis.mp3
47,long-tailed duck,https://xeno-canto.org/699017/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Grzegorz Lorek,699017,//xeno-canto.org/699017,XC699017-3 - 19.01.2022 - 11.20 - C. hyemalis.mp3
48,long-tailed duck,https://xeno-canto.org/699016/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Grzegorz Lorek,699016,//xeno-canto.org/699016,XC699016-4 - 19.01.2022 - 11.22 - C. hyemalis.mp3
49,long-tailed duck,https://xeno-canto.org/699015/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Grzegorz Lorek,699015,//xeno-canto.org/699015,XC699015-5 - 19.01.2022 - 11.38 - C. hyemalis.mp3
50,long-tailed duck,https://xeno-canto.org/698935/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Stein Ø. Nilsen,698935,//xeno-canto.org/698935,XC698935-26012022_003_HAVELLE-HÅKØYA-F6-TELINGA.mp3
52,long-tailed duck,https://xeno-canto.org/680385/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Seth Beaudreault (Toolik Field Station),680385,//xeno-canto.org/680385,XC680385-20210611LTDU01.mp3
53,long-tailed duck,https://xeno-canto.org/660261/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Hannu Varkki,660261,//xeno-canto.org/660261,XC660261-CLAHYE2021-04-29-0655-SKATA-flight-m.mp3
54,long-tailed duck,https://xeno-canto.org/650266/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Alan Dalton,650266,//xeno-canto.org/650266,XC650266-Long-tailed Duck 22 apr 0029.mp3
